year,region,yearly_cases,pop,crude_rate
2002,광주시광산구,0,275301.0,0.0
2002,광주시남구,0,221357.0,0.0
2002,광주시동구,0,117225.0,0.0
2002,광주시북구,1,471364.0,0.21215027027944433
2002,광주시서구,0,312205.0,0.0
2002,대구시군위군,0,31654.0,0.0
2002,대구시남구,0,189725.0,0.0
2002,대구시달서구,0,605433.0,0.0
2002,대구시달성군,0,155601.0,0.0
2002,대구시동구,0,333134.0,0.0
2002,대구시북구,0,435209.0,0.0
2002,대구시서구,0,272752.0,0.0
2002,대구시수성구,0,446879.0,0.0
2002,대구시중구,0,87070.0,0.0
2002,대전시대덕구,0,229926.0,0.0
2002,대전시동구,0,240487.0,0.0
2002,대전시서구,0,496217.0,0.0
2002,대전시유성구,0,187346.0,0.0
2002,대전시중구,0,265597.0,0.0
2002,부산시강서구,0,58288.0,0.0
2002,부산시금정구,0,278511.0,0.0
2002,부산시기장군,0,76384.0,0.0
2002,부산시남구,0,305375.0,0.0
2002,부산시동구,0,121043.0,0.0
2002,부산시동래구,0,290396.0,0.0
2002,부산시부산진구,0,420645.0,0.0
2002,부산시북구,0,320976.0,0.0
2002,부산시사상구,0,294090.0,0.0
2002,부산시사하구,0,378236.0,0.0
2002,부산시서구,0,148020.0,0.0
2002,부산시수영구,0,177881.0,0.0
2002,부산시연제구,0,228268.0,0.0
2002,부산시영도구,0,174678.0,0.0
2002,부산시중구,0,55671.0,0.0
2002,부산시해운대구,0,401663.0,0.0
2002,서울시강남구,0,535138.0,0.0
2002,서울시강동구,0,481470.0,0.0
2002,서울시강북구,0,361896.0,0.0
2002,서울시강서구,0,528321.0,0.0
2002,서울시관악구,0,522207.0,0.0
2002,서울시광진구,0,386511.0,0.0
2002,서울시구로구,0,413363.0,0.0
2002,서울시금천구,0,261413.0,0.0
2002,서울시노원구,0,641652.0,0.0
2002,서울시도봉구,0,371911.0,0.0
2002,서울시동대문구,0,381841.0,0.0
2002,서울시동작구,0,403047.0,0.0
2002,서울시마포구,0,375417.0,0.0
2002,서울시서대문구,0,362614.0,0.0
2002,서울시서초구,0,389256.0,0.0
2002,서울시성동구,0,340773.0,0.0
2002,서울시성북구,0,443809.0,0.0
2002,서울시송파구,0,647037.0,0.0
2002,서울시양천구,0,484518.0,0.0
2002,서울시영등포구,0,408753.0,0.0
2002,서울시용산구,0,234653.0,0.0
2002,서울시은평구,0,470205.0,0.0
2002,서울시종로구,0,181231.0,0.0
2002,서울시중구,0,138134.0,0.0
2002,서울시중랑구,0,442125.0,0.0
2002,세종시세종시,0,82323.0,0.0
2002,울산시남구,1,347695.0,0.2876083924128906
2002,울산시동구,0,186641.0,0.0
2002,울산시북구,0,124515.0,0.0
2002,울산시울주군,0,171321.0,0.0
2002,울산시중구,0,234865.0,0.0
2002,인천시강화군,0,65698.0,0.0
2002,인천시계양구,1,341074.0,0.2931915068284302
2002,인천시남구,0,432716.0,0.0
2002,인천시남동구,0,403574.0,0.0
2002,인천시동구,0,74747.0,0.0
2002,인천시부평구,0,558310.0,0.0
2002,인천시서구,1,350121.0,0.28561554434038516
2002,인천시연수구,0,259254.0,0.0
2002,인천시옹진군,0,14120.0,0.0
2002,인천시중구,0,78375.0,0.0
2002,전라남도강진군,0,46381.0,0.0
2002,전라남도고흥군,0,92715.0,0.0
2002,전라남도곡성군,0,36754.0,0.0
2002,전라남도광양시,0,137913.0,0.0
2002,전라남도구례군,0,31755.0,0.0
2002,전라남도나주시,0,102825.0,0.0
2002,전라남도담양군,0,51535.0,0.0
2002,전라남도목포시,0,244909.0,0.0
2002,전라남도무안군,0,65976.0,0.0
2002,전라남도보성군,0,57282.0,0.0
2002,전라남도순천시,0,271139.0,0.0
2002,전라남도신안군,0,49704.0,0.0
2002,전라남도여수시,0,315536.0,0.0
2002,전라남도영광군,0,67055.0,0.0
2002,전라남도영암군,0,64637.0,0.0
2002,전라남도완도군,0,62964.0,0.0
2002,전라남도장성군,0,52542.0,0.0
2002,전라남도장흥군,0,50232.0,0.0
2002,전라남도진도군,0,39619.0,0.0
2002,전라남도함평군,0,41965.0,0.0
2002,전라남도해남군,0,92323.0,0.0
2002,전라남도화순군,0,78443.0,0.0
2002,전라북도고창군,0,69657.0,0.0
2002,전라북도군산시,0,272007.0,0.0
2002,전라북도김제시,0,110989.0,0.0
2002,전라북도남원시,0,100392.0,0.0
2002,전라북도무주군,0,27894.0,0.0
2002,전라북도부안군,0,70374.0,0.0
2002,전라북도순창군,0,32329.0,0.0
2002,전라북도완주군,0,84626.0,0.0
2002,전라북도익산시,0,330101.0,0.0
2002,전라북도임실군,0,35071.0,0.0
2002,전라북도장수군,0,26349.0,0.0
2002,전라북도전주시,0,624485.0,0.0
2002,전라북도정읍시,0,139133.0,0.0
2002,전라북도진안군,0,30439.0,0.0
2002,제주도서귀포시,0,160417.0,0.0
2002,제주도제주시,0,390414.0,0.0
2002,충청남도계룡시,0,29830.0,0.0
2002,충청남도공주시,0,132584.0,0.0
2002,충청남도금산군,0,61350.0,0.0
2002,충청남도논산시,0,137419.0,0.0
2002,충청남도당진시,0,118395.0,0.0
2002,충청남도보령시,0,113365.0,0.0
2002,충청남도부여군,0,88014.0,0.0
2002,충청남도서산시,0,148150.0,0.0
2002,충청남도서천군,0,70116.0,0.0
2002,충청남도아산시,0,191123.0,0.0
2002,충청남도예산군,0,97786.0,0.0
2002,충청남도천안시,0,441243.0,0.0
2002,충청남도청양군,0,38588.0,0.0
2002,충청남도태안군,0,66062.0,0.0
2002,충청남도홍성군,0,91377.0,0.0
2002,충청북도괴산군,0,41827.0,0.0
2002,충청북도단양군,0,37320.0,0.0
2002,충청북도보은군,1,40420.0,2.474022761009401
2002,충청북도영동군,0,55752.0,0.0
2002,충청북도옥천군,0,58461.0,0.0
2002,충청북도음성군,0,86562.0,0.0
2002,충청북도제천시,0,143231.0,0.0
2002,충청북도증평군,0,30738.0,0.0
2002,충청북도진천군,0,59699.0,0.0
2002,충청북도청주시,0,726723.0,0.0
2002,충청북도충주시,0,211980.0,0.0
2003,강원도강릉시,0,229073.0,0.0
2003,강원도고성군,0,32739.0,0.0
2003,강원도동해시,0,101764.0,0.0
2003,강원도삼척시,0,75759.0,0.0
2003,강원도속초시,0,89047.0,0.0
2003,강원도양구군,0,21995.0,0.0
2003,강원도양양군,0,29480.0,0.0
2003,강원도영월군,0,44027.0,0.0
2003,강원도원주시,0,280738.0,0.0
2003,강원도인제군,0,32092.0,0.0
2003,강원도정선군,0,46225.0,0.0
2003,강원도철원군,0,50212.0,0.0
2003,강원도춘천시,0,253363.0,0.0
